Leitores,Escritores,Tempo,Version
100,0,0.127,1
99,1,0.129,1
98,2,0.117,1
97,3,0.113,1
96,4,0.124,1
95,5,0.114,1
94,6,0.113,1
93,7,0.128,1
92,8,0.116,1
91,9,0.121,1
90,10,0.115,1
89,11,0.118,1
88,12,0.112,1
87,13,0.113,1
86,14,0.112,1
85,15,0.116,1
84,16,0.121,1
83,17,0.120,1
82,18,0.120,1
81,19,0.122,1
80,20,0.123,1
79,21,0.122,1
78,22,0.130,1
77,23,0.132,1
76,24,0.130,1
75,25,0.123,1
74,26,0.117,1
73,27,0.123,1
72,28,0.119,1
71,29,0.123,1
70,30,0.118,1
69,31,0.117,1
68,32,0.118,1
67,33,0.136,1
66,34,0.121,1
65,35,0.127,1
64,36,0.123,1
63,37,0.121,1
62,38,0.125,1
61,39,0.126,1
60,40,0.118,1
59,41,0.123,1
58,42,0.129,1
57,43,0.119,1
56,44,0.119,1
55,45,0.123,1
54,46,0.123,1
53,47,0.125,1
52,48,0.121,1
51,49,0.120,1
50,50,0.119,1
49,51,0.120,1
48,52,0.122,1
47,53,0.120,1
46,54,0.123,1
45,55,0.120,1
44,56,0.114,1
43,57,0.117,1
42,58,0.117,1
41,59,0.117,1
40,60,0.117,1
39,61,0.123,1
38,62,0.125,1
37,63,0.119,1
36,64,0.118,1
35,65,0.119,1
34,66,0.121,1
33,67,0.119,1
32,68,0.121,1
31,69,0.113,1
30,70,0.116,1
29,71,0.120,1
28,72,0.124,1
27,73,0.117,1
26,74,0.127,1
25,75,0.120,1
24,76,0.133,1
23,77,0.129,1
22,78,0.114,1
21,79,0.119,1
20,80,0.118,1
19,81,0.118,1
18,82,0.113,1
17,83,0.114,1
16,84,0.116,1
15,85,0.119,1
14,86,0.134,1
13,87,0.113,1
12,88,0.129,1
11,89,0.117,1
10,90,0.118,1
9,91,0.128,1
8,92,0.114,1
7,93,0.117,1
6,94,0.121,1
5,95,0.118,1
4,96,0.114,1
3,97,0.116,1
2,98,0.115,1
1,99,0.119,1
0,100,0.122,1
